# gate_e2e --margins: teacher-forced arm against exact-forced-32.tsv; our_margin is signed toward our_top1
#id	step	our_top1	our_margin	exact_top1	exact_margin
0	0	8913	2.535603	8913	2.354992
0	1	11	0.338575	11	0.394573
0	2	588	0.135929	588	0.185346
0	3	317	1.785110	317	1.965490
0	4	839	1.256426	839	1.439651
0	5	254	1.089428	254	1.231788
0	6	8397	0.097122	8397	0.170909
0	7	3787	6.408947	3787	6.499169
0	8	279	3.433022	279	3.227543
0	9	254	2.814873	254	2.526758
0	10	3085	4.047222	3085	3.883034
0	11	13	2.842716	13	2.840197
0	12	8913	0.280161	8913	0.247922
0	13	317	2.134171	317	2.248567
0	14	3185	1.606091	3185	1.649546
0	15	327	1.268772	327	1.447988
0	16	895	3.178051	895	3.149440
0	17	31950	0.243347	31950	0.036012
0	18	58321	2.905720	58321	2.892600
0	19	11	1.209145	11	1.074275
0	20	1108	0.344154	1108	0.427448
0	21	372	8.620808	372	8.655468
0	22	254	6.420448	254	6.482679
0	23	427	6.447914	427	6.534483
0	24	96575	11.065037	96575	11.165947
0	25	25943	7.871819	25943	7.873801
0	26	11	0.886616	11	0.864074
0	27	254	1.082489	254	1.185786
0	28	75173	3.573498	75173	3.834978
0	29	12238	3.166584	12238	3.215326
0	30	11	4.415222	11	4.313182
0	31	285	3.789928	285	3.874634
1	0	207	2.473940	207	2.420862
1	1	16	5.954142	16	5.580010
1	2	15	6.133724	15	5.526350
1	3	15	10.784223	15	10.362495
1	4	9944	1.040905	9944	0.909672
1	5	77537	3.322994	77537	3.194352
1	6	430	0.578716	430	0.886663
1	7	5532	3.016434	5532	3.085294
1	8	2258	5.457047	2258	5.667264
1	9	11	0.469114	11	0.242672
1	10	548	0.838600	548	0.908744
1	11	359	0.246698	359	0.178726
1	12	481	1.053421	481	1.034247
1	13	839	0.923792	839	0.424501
1	14	26310	1.200359	26310	1.138116
1	15	430	3.721878	430	3.424398
1	16	207	0.922241	207	1.070309
1	17	16	0.779793	16	0.806847
1	18	15	3.719143	15	3.378686
1	19	15	4.259901	15	5.018788
1	20	9944	4.943613	9944	4.981505
1	21	77537	4.464851	77537	4.280572
1	22	430	0.577293	430	0.568577
1	23	3872	0.520311	3872	0.626529
1	24	2917	3.578196	2917	3.721058
1	25	13354	10.941427	13354	11.050371
1	26	13	0.636013	13	0.722957
1	27	1002	0.217299	1002	0.190405
1	28	317	1.724003	317	1.691300
1	29	1373	1.126713	1373	0.903989
1	30	254	1.626194	254	1.553876
1	31	3207	0.241425	3207	0.108828
2	0	207	4.100465	207	3.803425
2	1	19	1.005967	19	1.248804
2	2	185	1.067100	185	1.069605
2	3	185	0.103681	185	0.162516
2	4	1679	1.267282	1679	1.218218
2	5	207	1.867397	207	1.661862
2	6	17	1.118430	17	1.084971
2	7	13	0.819554	13	0.710899
2	8	207	1.098586	207	1.210081
2	9	17	0.257011	17	0.288437
2	10	919	0.069123	13	0.029403
2	11	207	5.016687	207	4.878121
2	12	17	0.398258	17	0.200443
2	13	403	1.960741	403	2.017615
2	14	207	3.601187	207	3.434251
2	15	19	2.239586	19	1.868856
2	16	185	2.320864	185	2.088011
2	17	185	1.299120	185	1.139792
2	18	1679	1.246029	1679	1.098359
2	19	207	4.111289	207	3.716924
2	20	17	0.816899	17	0.934867
2	21	13	1.168279	13	0.514894
2	22	207	2.815986	207	2.290814
2	23	17	5.293110	17	5.269956
2	24	919	5.666016	919	6.005031
2	25	207	7.152180	207	7.601659
2	26	17	6.123484	17	5.613443
2	27	403	4.878304	403	4.741519
2	28	207	8.055716	207	7.602432
2	29	19	6.464794	19	6.650566
2	30	185	3.200274	185	3.526260
2	31	185	2.839113	185	3.092365
3	0	11	0.564749	11	0.457023
3	1	304	0.013647	601	0.004780
3	2	1210	0.878376	1210	1.056291
3	3	317	5.374454	317	5.358369
3	4	46462	0.120132	8688	0.290616
3	5	285	0.007620	285	0.091724
3	6	304	3.976513	304	3.958230
3	7	608	1.290499	608	1.070824
3	8	245	1.474546	245	1.451050
3	9	207	1.444939	207	1.420622
3	10	17	0.512303	17	0.622577
3	11	15	0.301182	15	0.307237
3	12	12	0.322731	12	0.227615
3	13	5468	1.325291	5468	1.556046
3	14	12	1.964474	12	2.102033
3	15	843	8.409723	843	8.531075
3	16	6710	0.007280	6710	0.123155
3	17	473	0.415150	473	0.477091
3	18	254	1.035419	254	1.039129
3	19	7312	0.364710	7312	0.410943
3	20	13	1.660904	13	1.616278
3	21	304	1.259905	304	1.256034
3	22	608	0.001358	608	0.072591
3	23	5134	2.158813	5134	2.345831
3	24	16208	1.271025	16208	1.176440
3	25	327	0.924944	327	0.829751
3	26	245	1.535702	245	1.602097
3	27	5757	1.882721	5757	1.937018
3	28	279	5.259327	279	5.225456
3	29	3517	0.566551	3517	0.628502
3	30	38683	1.344870	38683	1.226719
3	31	430	0.272972	430	0.008443
4	0	39048	1.883688	39048	1.863277
4	1	13	0.681999	13	0.952678
4	2	809	0.935263	809	0.853669
4	3	317	1.054287	317	0.931474
4	4	245	1.141834	245	1.268168
4	5	5817	5.731583	5817	5.749424
4	6	16310	7.477987	16310	7.351405
4	7	11	0.280754	11	0.370594
4	8	4569	0.642197	4569	0.468853
4	9	359	1.111683	359	1.000595
4	10	2845	0.125935	2845	0.135200
4	11	1401	0.510376	1401	0.270135
4	12	9565	0.126480	581	0.090747
4	13	280	3.139366	280	3.090030
4	14	5817	1.472549	5817	1.444343
4	15	285	2.279156	285	2.257473
4	16	2845	0.587502	2845	0.310107
4	17	487	0.042770	487	0.038499
4	18	83	12.219302	83	12.053389
4	19	463	8.442213	463	8.355687
4	20	245	7.189085	245	7.246063
4	21	6201	3.163124	6201	3.128816
4	22	5438	8.200823	5438	8.419630
4	23	13	0.812973	13	0.687832
4	24	39048	0.436798	39048	0.672539
4	25	317	1.922482	317	1.852495
4	26	558	0.951046	558	0.941718
4	27	2567	1.649399	2567	1.725026
4	28	344	3.478920	344	3.781699
4	29	359	0.689568	359	1.023440
4	30	1027	2.197330	1027	2.065663
4	31	4357	1.470074	4357	1.591300
5	0	185	0.017368	185	0.160708
5	1	300	0.264275	300	0.445553
5	2	972	2.761404	972	2.712446
5	3	245	4.870586	245	4.851316
5	4	919	1.469368	919	1.498833
5	5	270	8.996693	270	8.681998
5	6	185	3.364655	185	2.791275
5	7	185	2.348070	185	2.750103
5	8	1558	0.022753	185	0.021358
5	9	1558	2.160908	1558	2.029639
5	10	53909	1.524012	53909	1.560894
5	11	7	7.696012	7	7.876418
5	12	64	5.482613	64	5.275074
5	13	11	5.801426	11	5.880255
5	14	270	5.176460	270	5.768288
5	15	1780	7.719498	1780	7.978447
5	16	185	3.905470	185	3.892892
5	17	300	8.427418	300	8.661060
5	18	972	6.343285	972	6.341590
5	19	245	7.354200	245	7.317337
5	20	570	4.904129	570	4.725475
5	21	270	9.343315	270	9.123101
5	22	185	4.753017	185	4.788972
5	23	185	3.853483	185	3.949727
5	24	185	4.088289	185	4.086641
5	25	1558	4.737452	1558	4.497680
5	26	36419	3.691334	36419	3.697365
5	27	7	9.013197	7	8.832381
5	28	64	7.147364	64	7.265047
5	29	11	10.141737	11	10.213460
5	30	270	6.485672	270	6.400563
5	31	1780	7.389978	1780	7.491997
6	0	6159	1.923107	6159	1.910039
6	1	11	0.167814	11	0.226734
6	2	285	0.214504	285	0.128459
6	3	254	2.183701	254	2.232527
6	4	9541	2.826786	9541	2.956280
6	5	280	6.356647	280	6.377181
6	6	6159	2.296234	6159	2.129310
6	7	317	4.454531	317	4.683533
6	8	3550	3.144312	3550	3.374277
6	9	13	1.039766	13	1.193601
6	10	185	0.861490	185	0.905775
6	11	185	2.258037	185	1.594132
6	12	549	1.153032	549	1.380890
6	13	9541	2.688869	9541	2.691916
6	14	280	5.881451	280	5.990483
6	15	581	0.016985	581	0.233896
6	16	317	6.206100	317	6.355444
6	17	4426	1.866106	4426	1.858284
6	18	11	4.154022	11	4.264030
6	19	285	5.223606	285	5.197227
6	20	254	5.004948	254	4.941000
6	21	9541	7.657024	9541	7.715626
6	22	280	8.944147	280	9.119662
6	23	4426	6.735992	4426	6.703806
6	24	317	8.723759	317	8.767608
6	25	2156	6.315113	2156	6.312484
6	26	13	7.407112	13	7.565009
6	27	185	3.737392	185	3.727744
6	28	185	6.988523	185	6.922866
6	29	549	3.083309	549	3.097312
6	30	9541	3.947515	9541	3.822793
6	31	280	7.383923	280	7.583544
7	0	11	1.526287	11	1.496305
7	1	745	0.439169	745	0.265377
7	2	438	1.138973	438	1.260488
7	3	245	2.170078	245	2.172986
7	4	1585	0.142832	5075	0.015390
7	5	7046	1.446016	7046	1.349941
7	6	46707	0.159233	46707	0.032501
7	7	13	0.959372	13	0.981277
7	8	2130	1.021946	2130	1.083136
7	9	438	0.418762	438	0.398024
7	10	245	1.169954	245	1.195651
7	11	1079	0.754700	1079	0.833319
7	12	24012	0.366301	24012	0.309224
7	13	10724	0.782190	10724	0.944300
7	14	11	0.624264	11	0.584469
7	15	548	0.586414	548	0.552806
7	16	838	2.509216	838	2.441175
7	17	661	0.160160	661	0.122752
7	18	1866	0.392704	1866	0.243931
7	19	3707	0.120853	3707	0.041514
7	20	274	1.391319	274	1.321394
7	21	2460	0.963289	2460	0.921560
7	22	1296	0.106779	1296	0.218922
7	23	13	1.295197	13	1.483036
7	24	3474	0.038713	3474	0.035278
7	25	661	0.378067	661	0.391719
7	26	1958	1.036533	1958	0.996033
7	27	803	1.497852	803	1.728217
7	28	1653	1.192610	1653	1.233870
7	29	27211	0.791473	27211	0.717943
7	30	276	2.005890	276	1.994775
7	31	1296	0.695877	1296	0.289899
8	0	7742	1.985682	7742	2.526068
8	1	33802	4.589050	33802	5.140862
8	2	285	0.311346	331	1.367818
8	3	2818	1.958412	2818	3.047637
8	4	2387	3.504250	2387	4.613311
8	5	11	0.474564	11	0.055455
8	6	285	1.392750	285	1.267631
8	7	254	0.290833	254	0.494231
8	8	4899	1.164135	4899	1.462416
8	9	418	0.219906	418	0.104553
8	10	14801	3.630228	14801	4.433901
8	11	457	4.871578	457	4.756299
8	12	45507	3.367664	45507	3.499272
8	13	13	3.561005	13	3.416196
8	14	1494	0.489006	1494	0.416753
8	15	2203	1.904694	2203	2.040993
8	16	11	0.514753	11	0.439778
8	17	825	0.147429	825	0.460976
8	18	16	2.245085	16	2.324486
8	19	11	3.948252	11	3.758604
8	20	207	2.163921	207	1.710957
8	21	17	2.733677	17	1.687506
8	22	11	5.812836	11	5.868009
8	23	207	2.469723	207	2.007208
8	24	18	6.334955	18	5.963556
8	25	11	0.789894	11	0.427825
8	26	207	2.045284	207	2.286821
8	27	19	3.785929	19	4.018924
8	28	11	0.677320	11	0.878329
8	29	207	2.850121	207	2.841639
8	30	20	7.092094	20	8.080740
8	31	60	2.274719	60	1.633051
9	0	207	5.075531	207	4.968218
9	1	16	2.334543	16	1.728139
9	2	23	5.220886	23	5.025517
9	3	21	8.297815	21	8.274641
9	4	11	5.281040	11	5.327086
9	5	17	1.374886	17	1.198974
9	6	23	4.251568	23	4.449440
9	7	17	6.151505	17	6.210190
9	8	6593	6.518614	6593	6.074201
9	9	513	3.448776	513	3.203441
9	10	1864	5.439541	1864	5.493890
9	11	13	1.165493	13	1.205362
9	12	185	1.037338	185	1.161891
9	13	185	1.098927	185	0.993022
9	14	1679	2.491116	1679	2.564148
9	15	1724	0.494352	1724	0.687196
9	16	4311	1.066158	4311	0.987119
9	17	317	1.848547	317	2.291469
9	18	254	0.086550	254	0.039892
9	19	30	0.404203	30	0.567760
9	20	185	4.655252	185	4.825028
9	21	185	1.869097	185	1.450788
9	22	20637	0.120104	549	0.181261
9	23	4583	3.830612	4583	3.843481
9	24	280	5.424183	280	5.618302
9	25	2156	7.302971	2156	7.284220
9	26	317	2.539906	317	2.449941
9	27	10750	0.551777	10750	0.662869
9	28	207	6.020267	207	6.114696
9	29	16	6.917398	16	7.542872
9	30	23	7.833473	23	7.408171
9	31	21	10.649357	21	10.409438
10	0	11303	1.810154	11303	1.891607
10	1	11	2.118160	11	2.200138
10	2	10967	2.476295	10967	2.468375
10	3	11	2.455709	11	2.449909
10	4	8202	3.839518	8202	3.501205
10	5	11	2.439943	11	2.601070
10	6	8652	3.746998	8652	3.775088
10	7	11	2.097029	11	2.072025
10	8	7926	5.435354	7926	5.405832
10	9	185	2.090427	185	2.132813
10	10	185	1.756596	185	1.953777
10	11	1679	1.637766	1679	0.883515
10	12	25452	0.157812	1724	0.013072
10	13	280	1.251198	9325	0.063556
10	14	254	4.488621	254	4.424818
10	15	14062	1.497272	14062	1.376413
10	16	185	0.209616	185	0.896369
10	17	185	2.882662	185	2.438164
10	18	12	1.445228	12	1.350777
10	19	9217	0.530474	9217	0.213692
10	20	32511	0.565129	32511	0.750311
10	21	746	0.719099	746	0.519621
10	22	185	1.289516	185	0.893991
10	23	12	0.369530	207	0.353193
10	24	570	4.863989	570	5.389178
10	25	9217	0.157976	9217	0.100528
10	26	32511	0.042163	32682	0.226006
10	27	62086	1.384182	62086	1.404655
10	28	59668	0.418747	59668	0.874471
10	29	414	1.903683	414	2.307281
10	30	2008	0.855293	656	0.134504
10	31	83812	5.942268	83812	6.249152
11	0	5001	0.172829	5001	0.184529
11	1	403	0.915798	403	0.807923
11	2	655	2.314890	655	2.307462
11	3	2817	0.687543	2817	0.571433
11	4	31	3.819456	31	3.739891
11	5	2817	0.649776	2817	0.942252
11	6	13	2.876781	13	2.727842
11	7	690	3.272907	690	3.302329
11	8	4069	0.626062	4069	0.794791
11	9	185	0.227080	185	0.322954
11	10	185	2.776606	185	2.450570
11	11	7504	1.011911	7504	0.830522
11	12	575	4.335163	575	4.357077
11	13	7431	6.179001	7431	6.473887
11	14	4741	2.796673	4741	2.780916
11	15	11267	4.146973	11267	4.241073
11	16	5001	2.855921	5001	2.843279
11	17	33219	0.110649	403	0.278750
11	18	655	4.626120	655	4.853801
11	19	2817	5.399678	2817	5.308043
11	20	31	4.244963	31	3.861989
11	21	2817	7.079760	2817	7.164860
11	22	13	5.868484	13	5.977709
11	23	690	8.841438	690	8.643160
11	24	4069	0.849764	4069	0.468937
11	25	185	0.551691	185	0.366602
11	26	185	4.662423	185	4.317406
11	27	7504	2.567986	7504	2.400523
11	28	575	4.019432	575	4.717469
11	29	7431	6.335318	7431	6.800112
11	30	4741	3.627352	4741	3.460316
11	31	11267	2.882891	11267	2.791074
12	0	37236	4.073151	37236	3.828801
12	1	11	0.951668	11	0.876106
12	2	588	1.424137	588	1.259296
12	3	3450	0.642012	3450	0.589129
12	4	473	8.762863	473	8.956140
12	5	254	4.932978	254	5.527475
12	6	13406	6.606289	13406	6.533990
12	7	1734	5.619492	1734	6.236009
12	8	327	0.618963	327	0.974431
12	9	5299	4.747318	5299	4.558101
12	10	11	4.499401	11	4.302746
12	11	54150	1.458866	54150	1.557866
12	12	377	5.602409	377	5.753169
12	13	13	3.321096	13	3.158573
12	14	8264	0.562569	8264	0.667628
12	15	317	0.962330	317	1.001687
12	16	245	2.096336	245	1.968245
12	17	17353	0.303066	11471	0.091330
12	18	3699	6.068590	3699	5.040627
12	19	366	3.996155	366	4.345918
12	20	23772	1.535490	23772	1.789698
12	21	1604	7.486835	1604	7.386847
12	22	207	7.287304	207	7.332002
12	23	16	0.939138	22	1.181864
12	24	24	9.983715	24	10.128287
12	25	11	2.708450	11	2.276392
12	26	4569	0.018059	588	0.206538
12	27	745	4.198132	745	5.525667
