# gate_e2e --margins: teacher-forced arm against exact-forced-32.tsv; our_margin is signed toward our_top1
#id	step	our_top1	our_margin	exact_top1	exact_margin
0	0	8913	2.604286	8913	2.354992
0	1	11	0.354033	11	0.394573
0	2	588	0.258099	588	0.185346
0	3	317	1.977062	317	1.965490
0	4	839	1.446344	839	1.439651
0	5	254	1.120384	254	1.231788
0	6	8397	0.275171	8397	0.170909
0	7	3787	6.586477	3787	6.499169
0	8	279	3.372986	279	3.227543
0	9	254	2.559227	254	2.526758
0	10	3085	3.929489	3085	3.883034
0	11	13	2.830189	13	2.840197
0	12	8913	0.230740	8913	0.247922
0	13	317	2.306614	317	2.248567
0	14	3185	1.575884	3185	1.649546
0	15	327	1.346153	327	1.447988
0	16	895	3.122589	895	3.149440
0	17	4171	0.015680	31950	0.036012
0	18	58321	3.129343	58321	2.892600
0	19	11	1.232182	11	1.074275
0	20	1108	0.467987	1108	0.427448
0	21	372	8.746445	372	8.655468
0	22	254	6.412270	254	6.482679
0	23	427	6.439384	427	6.534483
0	24	96575	11.507736	96575	11.165947
0	25	25943	7.563713	25943	7.873801
0	26	11	0.762501	11	0.864074
0	27	254	0.917789	254	1.185786
0	28	75173	3.561150	75173	3.834978
0	29	12238	3.152809	12238	3.215326
0	30	11	4.298149	11	4.313182
0	31	285	3.795845	285	3.874634
1	0	207	2.416170	207	2.420862
1	1	16	5.848431	16	5.580010
1	2	15	5.564619	15	5.526350
1	3	15	8.542737	15	10.362495
1	4	9944	0.816090	9944	0.909672
1	5	77537	3.253191	77537	3.194352
1	6	430	0.933184	430	0.886663
1	7	5532	3.389538	5532	3.085294
1	8	2258	6.043316	2258	5.667264
1	9	11	0.373310	11	0.242672
1	10	548	0.810932	548	0.908744
1	11	359	0.152487	359	0.178726
1	12	481	1.207548	481	1.034247
1	13	839	0.671700	839	0.424501
1	14	26310	1.014912	26310	1.138116
1	15	430	3.394646	430	3.424398
1	16	207	1.088184	207	1.070309
1	17	16	1.243422	16	0.806847
1	18	15	3.315832	15	3.378686
1	19	15	5.207989	15	5.018788
1	20	9944	4.975487	9944	4.981505
1	21	77537	4.453901	77537	4.280572
1	22	430	0.574615	430	0.568577
1	23	3872	0.822693	3872	0.626529
1	24	2917	3.617653	2917	3.721058
1	25	13354	10.821751	13354	11.050371
1	26	13	0.434963	13	0.722957
1	27	1002	0.132803	1002	0.190405
1	28	317	1.915958	317	1.691300
1	29	1373	1.174606	1373	0.903989
1	30	254	1.560268	254	1.553876
1	31	33076	0.088882	3207	0.108828
2	0	207	4.010114	207	3.803425
2	1	19	1.155508	19	1.248804
2	2	185	1.142126	185	1.069605
2	3	185	0.159182	185	0.162516
2	4	1679	1.228529	1679	1.218218
2	5	207	1.470548	207	1.661862
2	6	17	1.130989	17	1.084971
2	7	13	0.863114	13	0.710899
2	8	207	1.207458	207	1.210081
2	9	17	0.293675	17	0.288437
2	10	919	0.158179	13	0.029403
2	11	207	4.998327	207	4.878121
2	12	17	0.366048	17	0.200443
2	13	403	2.290489	403	2.017615
2	14	207	3.645265	207	3.434251
2	15	19	1.910635	19	1.868856
2	16	185	2.123744	185	2.088011
2	17	185	1.168778	185	1.139792
2	18	1679	1.196925	1679	1.098359
2	19	207	3.993298	207	3.716924
2	20	17	0.992002	17	0.934867
2	21	13	0.909994	13	0.514894
2	22	207	3.049032	207	2.290814
2	23	17	5.598331	17	5.269956
2	24	919	5.884461	919	6.005031
2	25	207	7.679420	207	7.601659
2	26	17	7.578091	17	5.613443
2	27	403	4.699076	403	4.741519
2	28	207	8.660732	207	7.602432
2	29	19	6.883728	19	6.650566
2	30	185	3.513743	185	3.526260
2	31	185	2.933467	185	3.092365
3	0	11	0.617605	11	0.457023
3	1	601	0.056963	601	0.004780
3	2	1210	1.095455	1210	1.056291
3	3	317	5.389677	317	5.358369
