exact_ref prompt=8 tokens=9 kv=f64 act=Ik threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	8	7742	7742	2.2325	0.0000	2.3769
1	9	33802	33802	5.0196	0.0000	4.7514
2	10	331	331	0.7889	0.0000	1.2444
3	11	2818	2818	2.5109	0.0000	2.5253
4	12	2387	2387	4.7859	0.0000	4.6890
5	13	11	8891	0.2853	0.2853	0.1701
6	14	285	285	1.0779	0.0000	1.2956
7	15	254	254	0.3457	0.0000	0.3330
8	16	4899	4899	1.6303	0.0000	1.3404
9	17	418	418	0.2320	0.0000	0.1254
10	18	14801	14801	4.4486	0.0000	4.4498
11	19	457	457	4.8877	0.0000	4.7269
12	20	45507	45507	4.1344	0.0000	3.7765
13	21	13	13	3.2915	0.0000	3.1648
14	22	1494	1494	0.3796	0.0000	0.4181
15	23	2203	2203	2.0333	0.0000	1.9884
16	24	11	11	0.3996	0.0000	0.4396
17	25	825	825	0.6376	0.0000	0.5961
18	26	16	16	2.1920	0.0000	2.2724
19	27	11	11	3.6485	0.0000	3.7367
20	28	207	207	2.1322	0.0000	1.9402
21	29	17	17	2.1856	0.0000	1.9658
22	30	11	11	6.0811	0.0000	6.0240
23	31	207	207	2.4081	0.0000	1.9896
24	32	18	18	5.9353	0.0000	5.7855
25	33	11	11	0.8046	0.0000	0.5472
26	34	207	207	2.2989	0.0000	2.4850
27	35	19	19	3.7995	0.0000	4.0983
28	36	11	11	0.8079	0.0000	0.9510
29	37	207	207	2.5980	0.0000	3.1261
30	38	20	20	7.0011	0.0000	8.0393
  top5 step 30: 20:27.0208 790:20.0197 19:19.4836 2494:19.0010 16:18.2117
