exact_ref prompt=30 tokens=8 kv=f64 act=Ours threads=64 expert_scale=1
step	pos	theirs	exact_top1	exact_margin	theirs_gap	ref_margin
0	7	8660	8660	2.5035	0.0000	2.5929
1	8	23768	23768	4.9832	0.0000	4.9652
2	9	13	13	1.0531	0.0000	1.1307
3	10	1063	1063	0.5292	0.0000	0.2946
4	11	438	438	1.5965	0.0000	1.5753
5	12	7722	7722	0.4412	0.0000	0.3433
6	13	331	331	0.6749	0.0000	0.6756
7	14	6511	6511	3.8977	0.0000	3.8140
8	15	207	207	6.8395	0.0000	6.8351
9	16	17	17	3.2477	0.0000	3.1539
10	17	18	18	0.1141	0.0000	0.8868
11	18	11	11	5.2706	0.0000	5.1897
12	19	207	207	5.5339	0.0000	5.5413
13	20	16	16	9.3313	0.0000	9.4406
14	21	20	20	9.6722	0.0000	9.4393
15	22	21	21	9.0094	0.0000	9.0527
16	23	19	19	9.9693	0.0000	9.6639
17	24	11	11	2.1236	0.0000	2.1566
18	25	279	279	2.8021	0.0000	2.8742
19	26	90262	90262	5.2814	0.0000	5.8263
20	27	12	12	7.3371	0.0000	7.6760
21	28	12758	12758	4.4860	0.0000	4.4517
22	29	12	12	7.8871	0.0000	7.6568
23	30	11983	11983	6.1286	0.0000	5.2356
24	31	249	249	12.3328	0.0000	12.0386
25	32	11	11	3.3280	0.0000	3.2148
26	33	6435	6435	4.1180	0.0000	4.0861
27	34	13	13	1.2403	0.0000	1.2082
28	35	23768	23768	0.6834	0.0000	1.0701
29	36	317	317	1.4486	0.0000	1.4591
30	37	13587	13587	1.6868	0.0000	1.4543
  top5 step 30: 13587:32.3785 4828:30.6917 2752:30.2983 245:29.3192 3185:29.1361
